id,Name,Assembly,link,party,case,Qualification,Assets
1,Guvvala Balaraju,ACHAMPET (SC),https://www.myneta.info/telangana2018/candidate.php?candidate_id=5738,BRS,1,Post Graduate,69674000
2,Jogu Ramanna,ADILABAD,https://www.myneta.info/telangana2018/candidate.php?candidate_id=4704,BRS,3,12th Pass,37871078
3,Gongidi Suneetha,ALAIR,https://www.myneta.info/telangana2018/candidate.php?candidate_id=4631,BRS,1,10th Pass,48478500
4,V.m. Abraham,ALAMPUR (SC),https://www.myneta.info/telangana2018/candidate.php?candidate_id=5103,BRS,0,Graduate Professional,11649000
5,K. Venkatesham,AMBERPET,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5630,BRS,1,Graduate Professional,24884675
6,Kranthi Kiran Chanti,ANDOLE (SC),https://www.myneta.info/telangana2018/candidate.php?candidate_id=5369,BRS,0,12th Pass,18502376
7,Ashannagari Jeevan Reddy,ARMUR,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5306,BRS,0,Graduate Professional,64642504
8,Athram Sakku,ASIFABAD (ST),https://www.myneta.info/telangana2018/candidate.php?candidate_id=4600,BRS,45,10th Pass,2760000
9,Mecha Nageswara Rao,ASWARAOPETA (ST),https://www.myneta.info/telangana2018/candidate.php?candidate_id=4669,BRS,1,5th Pass,3280390
10,Mohd Moazam Khan,BAHADURPURA,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5038,All India Majlis-E-Ittehadul Muslimeen,0,10th Pass,
11,Vemula Prashanth Reddy,BALKONDA,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5326,BRS,0,Graduate Professional,102420909
12,Pocharam Srinivas Reddy (parige),BANSWADA,https://www.myneta.info/telangana2018/candidate.php?candidate_id=4751,BRS,1,12th Pass,49467608
13,Durgam Chinnaiah,BELLAMPALLE (SC),https://www.myneta.info/telangana2018/candidate.php?candidate_id=4593,BRS,0,Others,18210103
14,Podem Veeraiah,BHADRACHALAM (ST),https://www.myneta.info/telangana2018/candidate.php?candidate_id=5251,INC,2,12th Pass,8748259
15,Pailla Shekar Reddy,BHONGIR,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5210,BRS,0,Others,910413805
16,Gandra Venkata Ramana Reddy,BHUPALPALLE,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5987,BRS,4,5th Pass,272345099
17,Bapu Rao Rathod,BOATH (ST),https://www.myneta.info/telangana2018/candidate.php?candidate_id=4610,BRS,0,Post Graduate,15890687
18,Shakil Aamir Mohammed,BODHAN,https://www.myneta.info/telangana2018/candidate.php?candidate_id=4738,BRS,3,10th Pass,189155539
19,Akbaruddin Owaisi,CHANDRAYANGUTTA,https://www.myneta.info/telangana2018/candidate.php?candidate_id=5004,All India Majlis-E-Ittehadul Muslimeen,14,12th Pass,243068341
20,Mumtaz Ahmed Khan,CHARMINAR,https://www.myneta.info/telangana2018/candidate.php?candidate_id=6347,All India Majlis-E-Ittehadul Muslimeen,2,Others,
21,Balka Suman,CHENNUR SC),https://www.myneta.info/telangana2018/candidate.php?candidate_id=5276,BRS,1,Post Graduate,25469396
22,Kale Yadaiah,CHEVELLA (SC),https://www.myneta.info/telangana2018/candidate.php?candidate_id=6258,BRS,2,12th Pass,3754200
23,Ravi Shankar Sunke,CHOPPADANDI (SC),https://www.myneta.info/telangana2018/candidate.php?candidate_id=4843,BRS,0,10th Pass,2031455
24,Ramavath Ravindra Kumar,DEVARAKONDA (ST),https://www.myneta.info/telangana2018/candidate.php?candidate_id=5775,BRS,1,Post Graduate,13925654
